Printout for SDDS file one.sig

       s             enx            eny      
       m              m              m       
---------------------------------------------
  3.604718e+01   9.770256e-06   1.090052e-05 
  3.637218e+01   9.770256e-06   1.090052e-05 
  3.642169e+01   9.770256e-06   1.090052e-05 
  3.946579e+01   9.770124e-06   1.090157e-05 
  3.951531e+01   9.770124e-06   1.090157e-05 
  3.962623e+01   9.770124e-06   1.090157e-05 
  3.967574e+01   9.770124e-06   1.090157e-05 
  4.271984e+01   9.770136e-06   1.090191e-05 
  4.276936e+01   9.770136e-06   1.090191e-05 
  4.276936e+01   9.770136e-06   1.090191e-05 
  4.326936e+01   9.770136e-06   1.090191e-05 
  4.331887e+01   9.770136e-06   1.090191e-05 
  4.636297e+01   9.770249e-06   1.090199e-05 
  4.641249e+01   9.770249e-06   1.090199e-05 
  4.652341e+01   9.770249e-06   1.090199e-05 
  4.657292e+01   9.770249e-06   1.090199e-05 
  4.961702e+01   9.770424e-06   1.090199e-05 
  4.966654e+01   9.770424e-06   1.090199e-05 
  4.966654e+01   9.770424e-06   1.090199e-05 
  4.966654e+01   9.770424e-06   1.090199e-05 
  4.999154e+01   9.770424e-06   1.090199e-05 
  5.014154e+01   9.772954e-06   1.090280e-05 
  5.014154e+01   9.772954e-06   1.090280e-05 
  5.014154e+01   9.772885e-06   1.090280e-05 
  5.014154e+01   9.772885e-06   1.090279e-05 
  5.046654e+01   9.772885e-06   1.090279e-05 
  5.051605e+01   9.772885e-06   1.090279e-05 
  5.356015e+01   9.773085e-06   1.090274e-05 
  5.360967e+01   9.773085e-06   1.090274e-05 
  5.372059e+01   9.773085e-06   1.090274e-05 
  5.377010e+01   9.773085e-06   1.090274e-05 
  5.681420e+01   9.773226e-06   1.090265e-05 
  5.686372e+01   9.773226e-06   1.090265e-05 
  5.686372e+01   9.773226e-06   1.090265e-05 
  5.736372e+01   9.773226e-06   1.090265e-05 
  5.741323e+01   9.773226e-06   1.090265e-05 
  6.045733e+01   9.773317e-06   1.090255e-05 
  6.050685e+01   9.773317e-06   1.090255e-05 
  6.061777e+01   9.773317e-06   1.090255e-05 
  6.066728e+01   9.773317e-06   1.090255e-05 
  6.371138e+01   9.773373e-06   1.090243e-05 
  6.376090e+01   9.773373e-06   1.090243e-05 
  6.376090e+01   9.773373e-06   1.090243e-05 
  6.408590e+01   9.773373e-06   1.090243e-05 
  6.423590e+01   9.772615e-06   1.088897e-05 
  6.423590e+01   9.772615e-06   1.088897e-05 
  6.423590e+01   9.772683e-06   1.088897e-05 
  6.423590e+01   9.772683e-06   1.088901e-05 
  6.456090e+01   9.772683e-06   1.088901e-05 
  6.461042e+01   9.772683e-06   1.088901e-05 
  6.765452e+01   9.772719e-06   1.088895e-05 
  6.770403e+01   9.772719e-06   1.088895e-05 
  6.781495e+01   9.772719e-06   1.088895e-05 
