Printout for SDDS file one.twi

       s            betax          alphax          etax          etaxp     
       m              m                             m                      
---------------------------------------------------------------------------
  1.970357e+01   1.420515e+01   5.288054e-01  -2.177819e-07  -9.695740e-08 
  2.274767e+01   1.152331e+01   3.364900e-01  -4.391620e-07  -8.143093e-08 
  2.279718e+01   1.149023e+01   3.317065e-01  -4.431941e-07  -8.143093e-08 
  2.279718e+01   1.149023e+01   3.317065e-01  -4.431941e-07  -8.143093e-08 
  2.304718e+01   1.133041e+01   3.075549e-01  -4.635518e-07  -8.143093e-08 
  2.329718e+01   1.118267e+01   2.834033e-01  -4.839096e-07  -8.143093e-08 
  2.389718e+01   1.087737e+01   2.254395e-01  -5.327681e-07  -8.143093e-08 
  2.429718e+01   1.071247e+01   1.867969e-01  -5.653405e-07  -8.143093e-08 
  2.444718e+01   1.189726e+01  -8.377520e+00  -6.096791e-07  -5.152475e-07 
  2.444718e+01   1.189726e+01  -8.377520e+00  -6.096791e-07  -5.152475e-07 
  2.444718e+01   1.189726e+01  -8.377520e+00  -6.096791e-07  -5.152475e-07 
  2.444718e+01   1.189726e+01  -8.377520e+00  -6.096791e-07  -5.152475e-07 
  2.484718e+01   1.955657e+01  -1.077077e+01  -8.157781e-07  -5.152475e-07 
  2.499718e+01   2.099591e+01   1.468640e+00  -8.549868e-07  -3.556637e-09 
  2.539718e+01   1.984505e+01   1.408497e+00  -8.564094e-07  -3.556637e-09 
  2.559718e+01   1.928767e+01   1.378425e+00  -8.571207e-07  -3.556637e-09 
  2.719718e+01   1.526163e+01   1.137852e+00  -8.628114e-07  -3.556637e-09 
  2.739718e+01   1.481250e+01   1.107781e+00  -8.635227e-07  -3.556637e-09 
  2.764718e+01   1.426801e+01   1.070191e+00  -8.644118e-07  -3.556637e-09 
  2.764718e+01   1.426801e+01   1.070191e+00  -8.644118e-07  -3.556637e-09 
  2.789718e+01   1.374231e+01   1.032602e+00  -8.653010e-07  -3.556637e-09 
  2.789718e+01   1.374231e+01   1.032602e+00  -8.653010e-07  -3.556637e-09 
  2.814718e+01   1.323540e+01   9.950121e-01  -8.661902e-07  -3.556637e-09 
  2.814718e+01   1.323540e+01   9.950121e-01  -8.661902e-07  -3.556637e-09 
  2.839718e+01   1.274730e+01   9.574226e-01  -8.670793e-07  -3.556637e-09 
  2.859718e+01   1.237034e+01   9.273510e-01  -8.677906e-07  -3.556637e-09 
  3.019718e+01   9.787734e+00   6.867782e-01  -8.734813e-07  -3.556637e-09 
  3.039718e+01   9.519037e+00   6.567065e-01  -8.741926e-07  -3.556637e-09 
  3.069718e+01   9.138546e+00   6.115991e-01  -8.752596e-07  -3.556637e-09 
  3.084718e+01   8.679967e+00   2.413721e+00  -8.621683e-07   1.776530e-07 
  3.084718e+01   8.679967e+00   2.413721e+00  -8.621683e-07   1.776530e-07 
  3.084718e+01   8.679967e+00   2.413721e+00  -8.621683e-07   1.776530e-07 
  3.084718e+01   8.679967e+00   2.413721e+00  -8.621683e-07   1.776530e-07 
  3.144718e+01   6.066612e+00   1.941872e+00  -7.555765e-07   1.776530e-07 
