Printout for SDDS file one.cen

       s              Cx             Cy      
       m              m              m       
---------------------------------------------
  3.604718e+01   1.546618e-05   6.479033e-06 
  3.604718e+01   1.546618e-05   6.479033e-06 
  3.604718e+01   1.546618e-05   6.479033e-06 
  3.604718e+01   1.546618e-05   6.479033e-06 
  3.637218e+01   1.524461e-05   6.448915e-06 
  3.642169e+01   1.521086e-05   6.444326e-06 
  3.946579e+01   1.174572e-05   5.465896e-06 
  3.951531e+01   1.171515e-05   5.460159e-06 
  3.962623e+01   1.164668e-05   5.447309e-06 
  3.967574e+01   1.161612e-05   5.441572e-06 
  4.271984e+01   8.883880e-06   4.615290e-06 
  4.276936e+01   8.855700e-06   4.608998e-06 
  4.276936e+01   8.855700e-06   4.608998e-06 
  4.326936e+01   8.571134e-06   4.545467e-06 
  4.331887e+01   8.542953e-06   4.539176e-06 
  4.636297e+01   6.294069e-06   3.822728e-06 
  4.641249e+01   6.267572e-06   3.816165e-06 
  4.652341e+01   6.208216e-06   3.801465e-06 
  4.657292e+01   6.181719e-06   3.794902e-06 
  4.961702e+01   4.242554e-06   3.155935e-06 
  4.966654e+01   4.217240e-06   3.149245e-06 
  4.966654e+01   4.217240e-06   3.149245e-06 
  4.966654e+01   4.217240e-06   3.149245e-06 
  4.999154e+01   4.051089e-06   3.105340e-06 
  5.014154e+01   3.948083e-06   3.105273e-06 
  5.014154e+01   3.948083e-06   3.105273e-06 
  5.014154e+01   3.948083e-06   3.105273e-06 
  5.014154e+01   3.948083e-06   3.105273e-06 
  5.046654e+01   3.668357e-06   3.148887e-06 
  5.051605e+01   3.625739e-06   3.155532e-06 
  5.356015e+01   9.282639e-07   3.345635e-06 
  5.360967e+01   8.874761e-07   3.351403e-06 
  5.372059e+01   7.961059e-07   3.364323e-06 
  5.377010e+01   7.553181e-07   3.370090e-06 
  5.681420e+01  -1.681771e-06   3.518376e-06 
  5.686372e+01  -1.721061e-06   3.523340e-06 
  5.686372e+01  -1.721061e-06   3.523340e-06 
  5.736372e+01  -2.117806e-06   3.573469e-06 
  5.741323e+01  -2.157096e-06   3.578433e-06 
  6.045733e+01  -4.379694e-06   3.687074e-06 
  6.050685e+01  -4.417769e-06   3.691285e-06 
  6.061777e+01  -4.503061e-06   3.700718e-06 
  6.066728e+01  -4.541136e-06   3.704929e-06 
  6.371138e+01  -6.609226e-06   3.779097e-06 
  6.376090e+01  -6.646309e-06   3.782606e-06 
  6.376090e+01  -6.646309e-06   3.782606e-06 
  6.408590e+01  -6.889710e-06   3.805636e-06 
  6.423590e+01  -7.047324e-06   3.791604e-06 
  6.423590e+01  -7.047324e-06   3.791604e-06 
  6.423590e+01  -7.047324e-06   3.791604e-06 
  6.423590e+01  -7.047324e-06   3.791604e-06 
  6.456090e+01  -7.487660e-06   3.707831e-06 
  6.461042e+01  -7.554747e-06   3.695068e-06 
  6.765452e+01  -1.124507e-05   2.781604e-06 
  6.770403e+01  -1.131031e-05   2.768886e-06 
  6.781495e+01  -1.145643e-05   2.740397e-06 
  6.786446e+01  -1.152166e-05   2.727679e-06 
  7.090856e+01  -1.499635e-05   1.864103e-06 
  7.095808e+01  -1.506015e-05   1.851510e-06 
  7.095808e+01  -1.506015e-05   1.851510e-06 
  7.145808e+01  -1.570439e-05   1.724348e-06 
  7.150759e+01  -1.576819e-05   1.711755e-06 
  7.455169e+01  -1.905736e-05   8.979482e-07 
  7.460121e+01  -1.912010e-05   8.855430e-07 
  7.471213e+01  -1.926065e-05   8.577536e-07 
  7.476164e+01  -1.932339e-05   8.453483e-07 
  7.780574e+01  -2.248265e-05   7.452758e-08 
  7.785526e+01  -2.254461e-05   6.234905e-08 
  7.785526e+01  -2.254461e-05   6.234905e-08 
  7.818026e+01  -2.295135e-05  -1.758678e-08 
  7.833026e+01  -2.298896e-05  -5.475758e-08 
  7.833026e+01  -2.298896e-05  -5.475758e-08 
  7.833026e+01  -2.298896e-05  -5.475758e-08 
  7.833026e+01  -2.298896e-05  -5.475758e-08 
  7.865526e+01  -2.274503e-05  -1.360702e-07 
  7.870477e+01  -2.270786e-05  -1.484585e-07 
  8.174887e+01  -1.985010e-05  -8.868304e-07 
  8.179839e+01  -1.981518e-05  -8.989705e-07 
  8.190931e+01  -1.973695e-05  -9.261660e-07 
  8.195882e+01  -1.970203e-05  -9.383061e-07 
  8.500292e+01  -1.708975e-05  -1.640651e-06 
  8.505244e+01  -1.705671e-05  -1.652556e-06 
  8.505244e+01  -1.705671e-05  -1.652556e-06 
  8.555244e+01  -1.672311e-05  -1.772768e-06 
  8.560195e+01  -1.669007e-05  -1.784672e-06 
  8.864605e+01  -1.429034e-05  -2.452489e-06 
  8.869557e+01  -1.425887e-05  -2.464170e-06 
  8.880649e+01  -1.418837e-05  -2.490338e-06 
  8.885600e+01  -1.415690e-05  -2.502019e-06 
  9.190010e+01  -1.192933e-05  -3.141394e-06 
  9.194962e+01  -1.189917e-05  -3.152865e-06 
  9.194962e+01  -1.189917e-05  -3.152865e-06 
  9.227462e+01  -1.170118e-05  -3.228154e-06 
  9.242462e+01  -1.168612e-05  -3.241678e-06 
  9.242462e+01  -1.168612e-05  -3.241678e-06 
  9.242462e+01  -1.168612e-05  -3.241678e-06 
  9.242462e+01  -1.168612e-05  -3.241678e-06 
  9.274962e+01  -1.181874e-05  -3.224929e-06 
  9.279913e+01  -1.183894e-05  -3.222378e-06 
  9.584323e+01  -1.277862e-05  -2.993758e-06 
  9.589275e+01  -1.279874e-05  -2.991330e-06 
  9.600367e+01  -1.284382e-05  -2.985891e-06 
  9.605318e+01  -1.286395e-05  -2.983463e-06 
  9.909728e+01  -1.378869e-05  -2.770323e-06 
  9.914680e+01  -1.380873e-05  -2.767987e-06 
  9.914680e+01  -1.380873e-05  -2.767987e-06 
  9.939680e+01  -1.390989e-05  -2.756194e-06 
  9.939680e+01  -1.390989e-05  -2.756194e-06 
  9.964680e+01  -1.401106e-05  -2.744401e-06 
  9.969631e+01  -1.403110e-05  -2.742065e-06 
