Printout for SDDS file one.twi

       s            betay          alphay          etay          etayp     
       m              m                             m                      
---------------------------------------------------------------------------
  1.970357e+01   1.349901e+01  -2.627980e-01  -3.951523e-05  -4.342581e-05 
  2.274767e+01   1.547781e+01  -3.927762e-01  -1.472719e-04  -3.684205e-05 
  2.279718e+01   1.551689e+01  -3.964688e-01  -1.490961e-04  -3.684205e-05 
  2.279718e+01   1.551689e+01  -3.964688e-01  -1.490961e-04  -3.684205e-05 
  2.304718e+01   1.571979e+01  -4.151128e-01  -1.583067e-04  -3.684205e-05 
  2.329718e+01   1.593200e+01  -4.337568e-01  -1.675172e-04  -3.684205e-05 
  2.389718e+01   1.647936e+01  -4.785024e-01  -1.896224e-04  -3.684205e-05 
  2.429718e+01   1.687409e+01  -5.083328e-01  -2.043592e-04  -3.684205e-05 
  2.444718e+01   1.520000e+01   1.124996e+01  -2.009803e-04   8.179069e-05 
  2.444718e+01   1.520000e+01   1.124996e+01  -2.009803e-04   8.179069e-05 
  2.444718e+01   1.520000e+01   1.124996e+01  -2.009803e-04   8.179069e-05 
  2.444718e+01   1.520000e+01   1.124996e+01  -2.009803e-04   1.141237e-04 
  2.484718e+01   7.542785e+00   7.893074e+00  -1.553309e-04   1.141237e-04 
  2.499718e+01   5.931817e+00   3.171168e+00  -1.448762e-04   2.633133e-05 
  2.539718e+01   3.693106e+00   2.425608e+00  -1.343437e-04   2.633133e-05 
  2.559718e+01   2.797419e+00   2.052829e+00  -1.290774e-04   2.633133e-05 
  2.719718e+01   9.999479e-01  -9.294092e-01  -8.694732e-05   2.633133e-05 
  2.739718e+01   1.446267e+00  -1.302189e+00  -8.168105e-05   2.633133e-05 
  2.764718e+01   2.213856e+00  -1.768164e+00  -7.509822e-05   2.633133e-05 
  2.764718e+01   2.213856e+00  -1.768164e+00  -7.509822e-05   2.633133e-05 
  2.789718e+01   3.214431e+00  -2.234138e+00  -6.851539e-05   2.633133e-05 
  2.789718e+01   3.214431e+00  -2.234138e+00  -6.851539e-05   2.633133e-05 
  2.814718e+01   4.447994e+00  -2.700113e+00  -6.193256e-05   2.633133e-05 
  2.814718e+01   4.447994e+00  -2.700113e+00  -6.193256e-05   2.633133e-05 
  2.839718e+01   5.914544e+00  -3.166087e+00  -5.534973e-05   2.633133e-05 
  2.859718e+01   7.255535e+00  -3.538867e+00  -5.008346e-05   2.633133e-05 
  3.019718e+01   2.335149e+01  -6.521105e+00  -7.953340e-06   2.633133e-05 
  3.039718e+01   2.603449e+01  -6.893885e+00  -2.687075e-06   2.633133e-05 
