SDDS1
&description text="Twiss parameters--input: BYBL0.ele  lattice: BYBL.lte", contents="Twiss parameters", &end
&column name=x, units=m, type=double,  &end
&column name=xp, symbol=x', type=double,  &end
&column name=y, units=m, type=double,  &end
&column name=yp, symbol=y', type=double,  &end
&column name=t, units=s, type=double,  &end
&column name=p, units="m$be$nc", type=double,  &end
&data mode=ascii, &end
6063
  -1.2185764e-04	  -2.0033732e-05	   8.4330546e-05	  -4.8353597e-06	  -7.4180605e-12	   7.1526271e+01	
   2.5852229e-04	  -2.8645768e-05	  -5.8529662e-04	   6.6074928e-06	  -7.3496738e-12	   7.1550459e+01	
  -7.6332475e-04	  -6.4634355e-05	   3.6872397e-04	   3.7840612e-05	  -7.4256590e-12	   7.1557798e+01	
   5.5659597e-04	   6.5695606e-05	  -1.6443282e-04	  -4.7119206e-05	  -7.3553727e-12	   7.1603079e+01	
  -1.0439967e-03	  -2.0394981e-05	   6.1883744e-05	   2.3642847e-05	  -7.3876664e-12	   7.1535788e+01	
  -7.2234782e-04	  -2.2258192e-04	  -4.7078671e-04	  -1.0180688e-04	  -7.4579528e-12	   7.1482160e+01	
  -4.9511703e-04	  -2.1131234e-04	  -3.9068756e-04	   2.7720432e-05	  -7.4066628e-12	   7.1522231e+01	
  -3.2424948e-04	   7.5441075e-05	   6.6364886e-05	   6.2506127e-05	  -7.3876664e-12	   7.1570960e+01	
   4.0252974e-04	  -1.0980570e-04	  -1.5920733e-04	   1.5896017e-05	  -7.4104620e-12	   7.1483640e+01	
  -6.1043258e-04	  -2.1214754e-04	  -6.7199034e-04	  -1.2197415e-04	  -7.5529344e-12	   7.1477166e+01	
   5.4030740e-04	   1.6237880e-04	   3.8481402e-04	  -2.2075663e-05	  -7.5662318e-12	   7.1507993e+01	
  -4.3395123e-04	   8.5576054e-05	   3.9851232e-04	   4.6919356e-05	  -7.4313580e-12	   7.1542255e+01	
  -5.6604045e-04	  -1.3476503e-04	   7.1574653e-04	   2.3909562e-04	  -7.5130421e-12	   7.1501648e+01	
   1.2336478e-03	   8.4996713e-05	   5.8644968e-04	   2.7348259e-05	  -7.4066628e-12	   7.1546002e+01	
   3.3858151e-04	  -5.0536823e-06	   6.0589029e-04	  -8.6985757e-05	  -7.3762687e-12	   7.1554477e+01	
   5.1486266e-04	  -2.3915717e-05	   7.4879760e-04	  -3.5030137e-05	  -7.3553727e-12	   7.1562936e+01	
   4.5153883e-04	  -7.7724935e-05	   2.7173264e-04	  -5.7521992e-05	  -7.5586333e-12	   7.1434559e+01	
  -6.8114812e-04	  -2.5796924e-04	   1.3203637e-04	   5.3889916e-05	  -7.3458746e-12	   7.1565801e+01	
  -2.0625524e-03	  -3.0605834e-04	   1.6981067e-03	   2.5263932e-04	  -7.4047631e-12	   7.1481624e+01	
  -1.9145346e-04	  -1.3115257e-04	  -6.2170355e-05	   5.1844055e-06	  -7.7637935e-12	   7.1419411e+01	
  -3.1411697e-05	  -1.4653732e-04	  -1.4394571e-04	  -1.0573227e-05	  -7.5985255e-12	   7.1402671e+01	
   6.1977261e-04	   1.7575237e-04	   1.2431694e-04	  -4.4909199e-05	  -7.6403175e-12	   7.1383873e+01	
   7.9526914e-04	   2.5575499e-04	   9.0859909e-05	  -3.5864635e-05	  -7.4997447e-12	   7.1422158e+01	
   5.8852864e-04	   1.8386351e-04	  -3.0337212e-04	  -1.8118822e-04	  -7.4959454e-12	   7.1445251e+01	
   3.8199892e-04	  -5.6860417e-05	  -4.1676817e-04	  -8.1374145e-05	  -7.7675927e-12	   7.1421471e+01	
  -1.2991347e-04	   5.3767951e-06	   6.9029855e-06	   1.5468349e-05	  -7.9632547e-12	   7.1423883e+01	
   1.7187341e-04	   4.2625323e-05	   2.5319670e-04	   2.4945163e-05	  -7.6080237e-12	   7.1331932e+01	
   6.9787842e-04	   7.4197148e-05	   1.1220837e-03	   9.5229402e-05	  -7.5985255e-12	   7.1509717e+01	
  -4.1915453e-04	  -7.2004242e-05	   4.2439534e-04	   8.8603350e-05	  -7.3268782e-12	   7.1325303e+01	
   5.0314785e-04	  -4.1756194e-05	  -4.3877648e-04	  -4.4375913e-06	  -7.5472354e-12	   7.1538051e+01	
   1.1656585e-04	  -2.2946982e-05	  -8.3982428e-05	  -2.3497834e-05	  -7.8929684e-12	   7.1356772e+01	
  -7.3160793e-04	  -1.0746373e-04	  -3.0391170e-03	  -3.2460768e-04	  -7.5244399e-12	   7.1426063e+01	
