9.088468383592025e-03 1.452088049986431e-03 -1.574059483547244e-03 -3.072457133719617e-04 1.426699619365800e-07 6.826026706880581e+02
9.335093081536761e-03 1.454118046923266e-03 -1.328504669272906e-03 -3.369546817088653e-04 1.426640017691498e-07 6.834266893829665e+02
8.958875981613719e-03 1.389878531209757e-03 -1.918982260740877e-03 -2.258887449985784e-04 1.426653208916671e-07 6.836516366476470e+02
9.332550202173044e-03 1.405013967017745e-03 -1.295180840807249e-03 -2.668877571472654e-04 1.426633747686968e-07 6.841855872262156e+02
8.777989713594765e-03 1.382361134235415e-03 -1.223118006115351e-03 -2.444484094807373e-04 1.426592978764252e-07 6.824416270762861e+02
9.088611137505958e-03 1.354295325465497e-03 -1.388858547013169e-03 -2.166428722057311e-04 1.426590254102920e-07 6.824667147815214e+02
9.170550797978721e-03 1.371446226148951e-03 -1.463348530363178e-03 -2.063855678883966e-04 1.426621188623587e-07 6.844699405867686e+02
8.290350207030001e-03 1.326605387450200e-03 -1.559894548459483e-03 -2.349582977577546e-04 1.426565002940329e-07 6.798251815715764e+02
8.656346365544873e-03 1.416836092117635e-03 -4.925920941596631e-04 -2.863665635992234e-04 1.426609722278800e-07 6.850041586291575e+02
8.935810783755804e-03 1.398081265389605e-03 -1.914727987761508e-03 -1.991514337459441e-04 1.426631078913612e-07 6.836296486659096e+02
9.034027451527578e-03 1.410793194597809e-03 -1.634702822725430e-03 -2.112079740806246e-04 1.426626339521828e-07 6.844109545284554e+02
9.019536022583034e-03 1.390005015561818e-03 -1.418565256267255e-03 -1.990889892657001e-04 1.426618660389516e-07 6.836520731481335e+02
9.347031493804812e-03 1.458438745877290e-03 -1.232882292964777e-03 -2.509218549729473e-04 1.426668642309672e-07 6.838386741695401e+02
8.968232657249598e-03 1.400454338388808e-03 -1.436249150194241e-03 -2.310991984004858e-04 1.426640878297186e-07 6.846418216228512e+02
9.080088322119723e-03 1.421854828994458e-03 -2.076560704987347e-03 -1.953208727748480e-04 1.426656758429496e-07 6.834911329556976e+02
9.044783425211006e-03 1.426267786175111e-03 -9.919757778928283e-04 -2.640665865854183e-04 1.426639762485406e-07 6.849801270068399e+02
8.944500413833763e-03 1.432321132432906e-03 -2.631014467231477e-03 -1.944308534471306e-04 1.426643840776662e-07 6.837801765889192e+02
9.312472030389568e-03 1.378021166313904e-03 -1.750415401475881e-03 -2.317403781306505e-04 1.426590571952667e-07 6.820647961126886e+02
9.182395967811584e-03 1.510651344365656e-03 -1.697622281078515e-03 -2.928212225697244e-04 1.426682712084838e-07 6.837145878403253e+02
9.228420914927272e-03 1.415515580864882e-03 -1.511648733107773e-03 -2.019752001589185e-04 1.426621232004675e-07 6.831575196890058e+02
8.969515361812995e-03 1.374867086182302e-03 -1.340122463684350e-03 -2.405924600255646e-04 1.426641562070307e-07 6.845578461902066e+02
9.300166893598243e-03 1.441712473879088e-03 -1.336024648139585e-03 -2.686305592216223e-04 1.426659395164872e-07 6.845556276580077e+02
8.453118949350530e-03 1.332316422308308e-03 -1.914861949677113e-03 -1.909662346140003e-04 1.426604784071203e-07 6.845988539402608e+02
9.192294723911330e-03 1.359958027124436e-03 -2.371055928490406e-03 -2.236658019542550e-04 1.426602697781954e-07 6.846118433587631e+02
9.056577895554604e-03 1.332434636623289e-03 -9.939626885908659e-04 -3.198952777224657e-04 1.426623385960018e-07 6.845483743787818e+02
9.250889155242289e-03 1.392366077335396e-03 -1.264428010208593e-03 -2.567233712284676e-04 1.426619273229621e-07 6.842058810173146e+02
9.067853421301605e-03 1.402952285473497e-03 -1.345258145475036e-03 -2.378631630935124e-04 1.426645749655191e-07 6.851267124784881e+02
9.077159337708715e-03 1.394089673788490e-03 -2.599884240213624e-03 -1.746942130604471e-04 1.426610101953027e-07 6.846259698795384e+02
8.918339038412599e-03 1.405234217593284e-03 -1.774886675740812e-03 -2.632487341107553e-04 1.426552936187777e-07 6.781395683291702e+02
9.236397436291321e-03 1.429374306528059e-03 -9.697757147065961e-04 -2.892484957419419e-04 1.426607664374538e-07 6.838126209110073e+02
9.044709784344580e-03 1.390672777793158e-03 -7.607237202354414e-04 -2.813311555621865e-04 1.426626389495766e-07 6.840493926983461e+02
8.779163928370810e-03 1.375930361004170e-03 -1.507066612356404e-03 -2.617271168446711e-04 1.426555816834151e-07 6.793727215084272e+02
9.339258145272176e-03 1.389739728607208e-03 -1.322627203443459e-03 -2.549699920827071e-04 1.426614093867652e-07 6.842870087197432e+02
9.316931811269804e-03 1.396251203615553e-03 -1.371408494680622e-03 -3.196842424739508e-04 1.426600900954895e-07 6.825880801244474e+02
9.311338307887943e-03 1.391659306459788e-03 -1.476067174293133e-03 -3.063143226627530e-04 1.426640051686134e-07 6.852607661438242e+02
9.442987588672097e-03 1.475411174434023e-03 -6.537028007831069e-04 -2.424613544020074e-04 1.426645372129729e-07 6.852075158782350e+02
9.246776024423470e-03 1.364268981215476e-03 -1.917239230320831e-03 -2.239239788068608e-04 1.426595760009825e-07 6.828621515662401e+02
