Printout for SDDS file one.twi

       s            betax          alphax          etax          etaxp     
       m              m                             m                      
---------------------------------------------------------------------------
  2.274767e+01   1.152138e+01   3.364211e-01   2.080967e-03   1.831406e-04 
  2.279718e+01   1.148830e+01   3.316370e-01   2.090036e-03   1.831406e-04 
  2.279718e+01   1.148830e+01   3.316370e-01   2.090036e-03   1.831406e-04 
  2.304718e+01   1.132852e+01   3.074823e-01   2.135821e-03   1.831406e-04 
  2.329718e+01   1.118082e+01   2.833277e-01   2.181606e-03   1.831406e-04 
  2.389718e+01   1.087561e+01   2.253566e-01   2.291490e-03   1.831406e-04 
  2.429718e+01   1.071078e+01   1.867092e-01   2.364746e-03   1.831406e-04 
  2.444718e+01   1.189540e+01  -8.376276e+00   2.507190e-03   1.731006e-03 
  2.444718e+01   1.189540e+01  -8.376276e+00   2.507190e-03   1.731006e-03 
  2.444718e+01   1.189540e+01  -8.376276e+00   2.507190e-03   1.719001e-03 
  2.444718e+01   1.189540e+01  -8.376276e+00   2.507190e-03   1.719001e-03 
  2.484718e+01   1.955359e+01  -1.076920e+01   3.194791e-03   1.719001e-03 
  2.499718e+01   2.099273e+01   1.468345e+00   3.326728e-03   2.887346e-05 
  2.539718e+01   1.984211e+01   1.408209e+00   3.338278e-03   2.887346e-05 
  2.559718e+01   1.928484e+01   1.378141e+00   3.344052e-03   2.887346e-05 
  2.719718e+01   1.525966e+01   1.137598e+00   3.390250e-03   2.887346e-05 
  2.739718e+01   1.481063e+01   1.107530e+00   3.396025e-03   2.887346e-05 
  2.764718e+01   1.426626e+01   1.069945e+00   3.403243e-03   2.887346e-05 
  2.764718e+01   1.426626e+01   1.069945e+00   3.403243e-03   2.887346e-05 
  2.789718e+01   1.374068e+01   1.032360e+00   3.410461e-03   2.887346e-05 
  2.789718e+01   1.374068e+01   1.032360e+00   3.410461e-03   2.887346e-05 
  2.814718e+01   1.323390e+01   9.947756e-01   3.417680e-03   2.887346e-05 
  2.814718e+01   1.323390e+01   9.947756e-01   3.417680e-03   2.887346e-05 
  2.839718e+01   1.274591e+01   9.571907e-01   3.424898e-03   2.887346e-05 
  2.859718e+01   1.236905e+01   9.271228e-01   3.430673e-03   2.887346e-05 
  3.019718e+01   9.787122e+00   6.865795e-01   3.476870e-03   2.887346e-05 
  3.039718e+01   9.518504e+00   6.565116e-01   3.482645e-03   2.887346e-05 
  3.069718e+01   9.138128e+00   6.114097e-01   3.491307e-03   2.887346e-05 
  3.084718e+01   8.679617e+00   2.413461e+00   3.446664e-03  -6.228334e-04 
  3.084718e+01   8.679617e+00   2.413461e+00   3.446664e-03  -6.228334e-04 
  3.084718e+01   8.679617e+00   2.413461e+00   3.446664e-03  -6.302247e-04 
  3.084718e+01   8.679617e+00   2.413461e+00   3.446664e-03  -6.302247e-04 
  3.144718e+01   6.066533e+00   1.941680e+00   3.068529e-03  -6.302247e-04 
  3.159718e+01   5.859475e+00  -5.330527e-01   3.059379e-03   5.078331e-04 
  3.409718e+01   9.894470e+00  -1.080945e+00   4.328962e-03   5.078331e-04 
  3.409718e+01   9.894470e+00  -1.080945e+00   4.328962e-03   5.078331e-04 
  3.459718e+01   1.103020e+01  -1.190524e+00   4.582879e-03   5.078331e-04 
  3.459718e+01   1.103020e+01  -1.190524e+00   4.582879e-03   5.078331e-04 
  3.459718e+01   1.103020e+01  -1.190524e+00   4.582879e-03   4.913433e-04 
  3.459718e+01   1.103020e+01  -1.190524e+00   4.582879e-03   4.913433e-04 
  3.474718e+01   1.102264e+01   1.240429e+00   4.589212e-03  -4.071772e-04 
  3.524718e+01   9.839785e+00   1.125272e+00   4.385623e-03  -4.071772e-04 
  3.539718e+01   9.617545e+00   3.619564e-01   4.346691e-03  -1.123178e-04 
  3.589718e+01   9.284989e+00   3.031570e-01   4.290533e-03  -1.123178e-04 
  3.604718e+01   9.317861e+00  -5.232584e-01   4.299442e-03   2.312688e-04 
  3.604718e+01   9.317861e+00  -5.232584e-01   4.299442e-03   2.312688e-04 
  3.604718e+01   9.317861e+00  -5.232584e-01   4.299442e-03   2.312688e-04 
  3.604718e+01   9.317861e+00  -5.232584e-01   4.299442e-03   2.273431e-04 
  3.604718e+01   9.317861e+00  -5.232584e-01   4.299442e-03   2.273431e-04 
  3.637218e+01   9.672418e+00  -5.676876e-01   4.373328e-03   2.273431e-04 
  3.642169e+01   9.728971e+00  -5.744566e-01   4.384585e-03   2.273431e-04 
  3.946579e+01   1.433031e+01  -9.344671e-01   4.514877e-03   1.845987e-04 
  3.951531e+01   1.442317e+01  -9.409396e-01   4.524017e-03   1.845987e-04 
  3.962623e+01   1.463352e+01  -9.554388e-01   4.544493e-03   1.845987e-04 
  3.967574e+01   1.472845e+01  -9.619113e-01   4.553633e-03   1.845987e-04 
  4.271984e+01   2.163152e+01  -1.302511e+00   4.651971e-03   1.553954e-04 
  4.276936e+01   2.176082e+01  -1.308684e+00   4.659665e-03   1.553954e-04 
  4.276936e+01   2.176082e+01  -1.308684e+00   4.659665e-03   1.553954e-04 
  4.326936e+01   2.310067e+01  -1.371013e+00   4.737363e-03   1.553954e-04 
  4.331887e+01   2.323674e+01  -1.377185e+00   4.745057e-03   1.553954e-04 
  4.636297e+01   3.259692e+01  -1.694387e+00   4.817724e-03   1.340459e-04 
  4.641249e+01   3.276500e+01  -1.700267e+00   4.824362e-03   1.340459e-04 
  4.652341e+01   3.314365e+01  -1.713439e+00   4.839230e-03   1.340459e-04 
  4.657292e+01   3.331362e+01  -1.719319e+00   4.845867e-03   1.340459e-04 
  4.961702e+01   4.469483e+01  -2.016447e+00   4.904405e-03   1.178236e-04 
  4.966654e+01   4.489479e+01  -2.022059e+00   4.910239e-03   1.178236e-04 
  4.966654e+01   4.489479e+01  -2.022059e+00   4.910239e-03   1.178236e-04 
  4.966654e+01   4.489479e+01  -2.022059e+00   4.910239e-03   1.178236e-04 
  4.999154e+01   4.622110e+01  -2.058897e+00   4.948531e-03   1.178236e-04 
  5.014154e+01   4.623411e+01   1.972597e+00   4.936018e-03  -2.845225e-04 
  5.014154e+01   4.623411e+01   1.972597e+00   4.936018e-03  -2.845225e-04 
  5.014154e+01   4.623411e+01   1.972597e+00   4.936018e-03  -2.861751e-04 
  5.014154e+01   4.623411e+01   1.972597e+00   4.936018e-03  -2.861751e-04 
  5.046654e+01   4.496309e+01   1.938215e+00   4.843011e-03  -2.861751e-04 
  5.051605e+01   4.477141e+01   1.932977e+00   4.828841e-03  -2.861751e-04 
  5.356015e+01   3.385021e+01   1.648834e+00   3.719390e-03  -2.779339e-04 
  5.360967e+01   3.368720e+01   1.643395e+00   3.705628e-03  -2.779339e-04 
  5.372059e+01   3.332398e+01   1.631210e+00   3.674800e-03  -2.779339e-04 
  5.377010e+01   3.316271e+01   1.625770e+00   3.661038e-03  -2.779339e-04 
  5.681420e+01   2.420595e+01   1.312953e+00   2.662256e-03  -2.692231e-04 
  5.686372e+01   2.407621e+01   1.307381e+00   2.648925e-03  -2.692231e-04 
  5.686372e+01   2.407621e+01   1.307381e+00   2.648925e-03  -2.692231e-04 
  5.736372e+01   2.279696e+01   1.251117e+00   2.514314e-03  -2.692231e-04 
  5.741323e+01   2.267334e+01   1.245545e+00   2.500983e-03  -2.692231e-04 
  6.045733e+01   1.609113e+01   9.146585e-01   1.597514e-03  -2.604358e-04 
  6.050685e+01   1.600083e+01   9.090070e-01   1.584619e-03  -2.604358e-04 
  6.061777e+01   1.580058e+01   8.963469e-01   1.555731e-03  -2.604358e-04 
  6.066728e+01   1.571209e+01   8.906954e-01   1.542836e-03  -2.604358e-04 
  6.371138e+01   1.132292e+01   5.500214e-01   7.141183e-04  -2.519186e-04 
  6.376090e+01   1.126874e+01   5.443255e-01   7.016445e-04  -2.519186e-04 
  6.376090e+01   1.126874e+01   5.443255e-01   7.016445e-04  -2.519186e-04 
  6.408590e+01   1.092707e+01   5.069393e-01   6.197710e-04  -2.519186e-04 
  6.423590e+01   1.091979e+01  -4.581509e-01   5.866571e-04  -1.900218e-04 
  6.423590e+01   1.091979e+01  -4.581509e-01   5.866571e-04  -1.900218e-04 
  6.423590e+01   1.091979e+01  -4.581509e-01   5.866571e-04  -1.944133e-04 
  6.423590e+01   1.091979e+01  -4.581509e-01   5.866571e-04  -1.944133e-04 
  6.456090e+01   1.122929e+01  -4.941606e-01   5.234728e-04  -1.944133e-04 
  6.461042e+01   1.127850e+01  -4.996468e-01   5.138464e-04  -1.944133e-04 
  6.765452e+01   1.532491e+01  -8.290971e-01  -7.817399e-05  -1.888335e-04 
  6.770403e+01   1.540729e+01  -8.345491e-01  -8.752408e-05  -1.888335e-04 
  6.781495e+01   1.559378e+01  -8.467624e-01  -1.084695e-04  -1.888335e-04 
  6.786446e+01   1.567790e+01  -8.522144e-01  -1.178196e-04  -1.888335e-04 
  7.090856e+01   2.185949e+01  -1.177745e+00  -6.698948e-04  -1.834529e-04 
  7.095808e+01   2.197639e+01  -1.183152e+00  -6.789785e-04  -1.834529e-04 
  7.095808e+01   2.197639e+01  -1.183152e+00  -6.789785e-04  -1.834529e-04 
  7.145808e+01   2.318684e+01  -1.237753e+00  -7.707049e-04  -1.834529e-04 
  7.150759e+01   2.330968e+01  -1.243160e+00  -7.797886e-04  -1.834529e-04 
  7.455169e+01   3.185552e+01  -1.563322e+00  -1.294641e-03  -1.782703e-04 
  7.460121e+01   3.201060e+01  -1.568675e+00  -1.303468e-03  -1.782703e-04 
  7.471213e+01   3.235992e+01  -1.580667e+00  -1.323242e-03  -1.782703e-04 
  7.476164e+01   3.251672e+01  -1.586020e+00  -1.332069e-03  -1.782703e-04 
  7.780574e+01   4.313304e+01  -1.900556e+00  -1.816531e-03  -1.733381e-04 
  7.785526e+01   4.332151e+01  -1.905850e+00  -1.825114e-03  -1.733381e-04 
  7.785526e+01   4.332151e+01  -1.905850e+00  -1.825114e-03  -1.733381e-04 
